Water Control Zone,Station,Dates,Sample No,Depth,Chlorophyll-a (μg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM1,1988/11/24,1,Surface Water,5,27,N/A,100,1.2,4.68,4,3.78,18.9,210,5.4,0.5,26.1,6.7,N/A,0.68,0.22,0.46,2700,2600,5.5,70,3.1,5.5
Deep Bay,DM1,1988/12/9,1,Surface Water,2.3,19,0.053,100,1.1,4.14,3.5,3.74,17,160,5.6,N/A,23.6,5.8,7.8,0.73,0.22,0.42,6500,6000,5.2,62,3.1,2.4
Deep Bay,DM1,1989/1/13,1,Surface Water,1.9,25,0.047,208,1.4,6.58,6.2,5.18,14.6,23,6,N/A,22,6.5,7.6,0.97,0.16,0.22,26000,24000,5,56,4.8,3
Deep Bay,DM1,1989/2/17,1,Surface Water,3.2,3,0.085,14,0.87,4.38,3.7,3.88,17.5,14,4,0.7,26.4,5.9,8,0.75,0.21,0.47,1900,1900,6.6,82,3.2,5.5
Deep Bay,DM1,1989/3/14,1,Surface Water,9.3,17,0.055,360,0.97,5.5,4.8,4.4,19.2,150,4.9,0.8,18.3,5.3,7.7,0.81,0.25,0.45,3500,3200,4.3,53,3.7,4.3
Deep Bay,DM1,1989/4/14,1,Surface Water,2.5,2.5,0.087,18.5,0.83,4.86,3.9,4.26,22,13,6.7,N/A,19,0.5,7.8,0.74,0.2,0.76,11000,9000,6,72,3.3,1.5
Deep Bay,DM1,1989/5/12,1,Surface Water,6.1,2.5,0.027,20,0.34,2.71,1.4,1.91,29.2,8.5,5.6,0.3,15,5.6,7.8,0.28,0.11,1.2,100,100,5.5,79,0.6,1.2
Deep Bay,DM1,1989/6/12,1,Surface Water,24,6,0.171,65,1.6,6.22,5.9,4.62,25.8,61,9.3,0.2,8.7,14,7.8,1.2,0.11,0.21,56000,52000,3,39,4.3,6.2
Deep Bay,DM1,1989/7/20,1,Surface Water,2.5,3.5,0.092,22,0.35,1.87,1.3,1.38,27.8,20,5.3,N/A,16.8,1,8.3,0.31,0.15,0.42,1100,1100,4.8,67,0.81,1.7
Deep Bay,DM1,1989/8/18,1,Surface Water,20,6.5,0.251,20.5,0.69,3.04,2.5,2.34,30.5,23,4.5,0.5,15,4,8.3,0.53,0.21,0.33,300,1,4.8,68,1.8,3.9
Deep Bay,DM1,1989/9/18,1,Surface Water,0.5,6.5,0.059,36.5,0.55,2.85,2.6,1.45,26.4,38,2.9,0.2,21.6,2.1,8,0.4,0.11,0.14,6500,5900,2.5,35,1.2,1.3
Deep Bay,DM1,1989/10/16,1,Surface Water,4.6,7,0.085,39,0.53,2.48,1.8,2.18,26.1,38,4.2,0.5,26,2.2,8.1,0.49,0.26,0.42,800,700,4.5,66,1.5,1.2
Deep Bay,DM1,1989/11/13,1,Surface Water,13,6,0.077,44,0.54,3.27,2.5,2.87,23,40,5.8,0.4,23.5,2.8,8,0.44,0.3,0.47,900,800,7.4,99,2.1,1.1
Deep Bay,DM1,1989/12/11,1,Surface Water,17,5,0.126,30.5,1,6.52,6,4.32,18.7,29,4.3,0.5,26.9,1.9,8.1,0.75,0.19,0.33,1200,1100,6.4,83,3.8,5.4
Deep Bay,DM1,1990/1/12,1,Surface Water,5.1,4.5,0.03,50,1.1,6.38,5.7,5.28,19.3,34,5.8,0.5,24.5,2.4,7.3,0.9,0.22,0.46,11000,11000,3.3,40,4.6,3.2
Deep Bay,DM1,1990/2/12,1,Surface Water,2.9,9,0.012,50,1,2.91,2.3,2.11,18.7,87,1.9,0.3,24.8,2.1,7.4,0.42,0.2,0.41,11000,11000,5.2,61,1.5,3.2
Deep Bay,DM1,1990/3/16,1,Surface Water,1.1,5,0.003,39,0.56,3.82,2.2,2.12,20.4,50,4.6,0.4,24,2.3,7.3,0.42,1,0.62,900,800,5.4,66,0.5,2.1
Deep Bay,DM1,1990/4/17,1,Surface Water,1.3,6.5,0.008,36,0.41,3.49,2.5,1.58,21,38,5,0.4,18.1,1.3,7.6,0.31,0.2,0.79,4200,4000,5.8,72,0.59,1.6
Deep Bay,DM1,1990/5/14,1,Surface Water,1.1,2,0.046,19,0.93,6.63,5.9,4.23,27.3,16,5.7,0.8,16.8,0.6,7.3,0.52,0.18,0.55,5300,4700,2.6,37,3.5,1.1
Deep Bay,DM1,1990/6/15,1,Surface Water,1.1,2,0.001,18,0.48,1.65,1.4,0.27,31.3,17,6.9,1,11.6,1.2,7.8,0.39,0.051,0.2,100,100,5.4,83,0.023,0.5
Deep Bay,DM1,1990/7/13,1,Surface Water,1.1,15,0.087,600,0.38,3.79,2,2.68,31.4,160,8.1,0.2,6.6,5.5,8.1,0.3,0.69,1.1,1400,1400,4.5,69,0.89,3.1
Deep Bay,DM1,1990/8/10,1,Surface Water,0.3,10,N/A,94,0.52,3.05,1.2,2.3,N/A,90,7.4,0.2,14,3.5,8.1,0.35,1,0.85,300,300,N/A,N/A,0.45,3.5
Deep Bay,DM1,1990/9/25,1,Surface Water,4.5,1.5,0.135,18,0.88,4.76,3.7,4.56,30.7,12,7.5,0.4,14.5,2.6,7.7,0.71,0.28,0.78,1100,900,5.7,88,3.5,0.8
Deep Bay,DM1,1990/10/19,1,Surface Water,14,1,0.068,14,0.95,5.28,4.4,3.98,26.5,12,5.3,0.5,22.8,0.3,7.6,0.71,0.33,0.55,500,300,11,155,3.1,1.5
Deep Bay,DM1,1990/11/19,1,Surface Water,3.2,3.5,0.048,18.9,0.96,3.29,2.6,2.69,24.3,30,5.6,0.5,22.3,1.8,7.7,0.49,0.25,0.44,15000,15000,4.5,60,2,2.5
Deep Bay,DM1,1990/12/18,1,Surface Water,2.1,12,0.095,20,2,11.74,11,10.44,19.7,39,6.3,0.4,24.4,2.9,7.5,1.2,0.33,0.41,110000,98000,4.7,80,9.7,5.6
Deep Bay,DM1,1991/1/21,1,Surface Water,3.7,8.5,0.089,89,2.4,12.32,12,11.32,18,97,6.8,0.1,19.6,4.1,7.4,1.3,0.098,0.22,68000,68000,0.7,8,11,14
Deep Bay,DM1,1991/2/25,1,Surface Water,9.6,6,0.061,12,1.1,7.55,6.8,6.55,16.7,23,3.8,0.8,23.9,3.5,7.6,1.1,0.28,0.47,36000,33000,10.4,116,5.8,2.6
Deep Bay,DM1,1991/3/18,1,Surface Water,2.1,4.5,0.027,31,0.66,7.51,7,2.41,20.1,32,2.6,0.4,24.7,5.3,7.6,0.38,0.17,0.34,1700,1600,8.3,102,1.9,1.9
