Water Control Zone,Station,Dates,Sample No,Depth,Chlorophyll-a (μg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM1,1996/3/11,1,Surface Water,1.9,10,0.033,70,0.74,4.33,3.6,3.93,16.4,88,3.4,0.3,26.7,5.7,7.6,0.49,0.16,0.57,4800,4300,5.7,66,3.2,2.3
Deep Bay,DM1,1996/4/17,1,Surface Water,2,2.6,0.053,11.4,1.4,12.34,12,6.94,22.3,13,8.2,0.5,19.3,3,7.3,1.1,0.12,0.22,13000,13000,2.6,33,6.6,2.4
Deep Bay,DM1,1996/5/13,1,Surface Water,12,8,0.054,27.6,1.1,9.81,9.6,5.71,24.2,35,10,0.3,14,4,7.3,1,0.082,0.13,95000,90000,3.5,45,5.5,2.4
Deep Bay,DM1,1996/6/10,1,Surface Water,48,13,0.134,54.8,2.4,18.01,18,12.01,30.6,43,13,0.2,3.3,17,7.1,1.6,0.005,0.006,890000,700000,0.1,2,12,14.6
Deep Bay,DM1,1996/7/10,1,Surface Water,17,26,0.12,122,2.3,16.02,16,12.02,30,120,12,0.1,2,17,7.1,1.1,0.006,0.013,1300000,1100000,0.5,7,12,19.8
Deep Bay,DM1,1996/8/9,1,Surface Water,21,32,0.124,60.1,2,16.04,16,13.04,31.4,210,12,0.1,2,7,7,0.76,0.008,0.028,620000,540000,0.7,10,13,16.9
Deep Bay,DM1,1996/9/12,1,Surface Water,13,7.7,0.153,26.6,0.48,4.5,3.9,3,29.9,44,0.13,0.5,14.4,84,7.9,0.25,0.17,0.43,23000,20000,8.3,119,2.4,5.4
Deep Bay,DM1,1996/10/7,1,Surface Water,2.3,18,0.104,17.1,1.8,12.01,12,9.81,30.2,88,11,0.2,9.8,30,7.1,0.83,0.007,0.007,630000,520000,3,42,9.8,10.2
Deep Bay,DM1,1996/11/7,1,Surface Water,4.3,10,0.139,24.8,1.9,6.63,6.6,5.63,27.4,78,7.2,0.2,17.6,5.4,7.6,1.3,0.013,0.015,210000,200000,2.3,32,5.6,11.8
Deep Bay,DM1,1996/12/6,1,Surface Water,0.6,6,0.056,58.2,1.7,14.22,14,12.22,18,28,10,0.1,18.2,6,7.2,1.1,0.077,0.14,1100000,600000,3.6,42,12,14.8
Deep Bay,DM1,1997/1/8,1,Surface Water,140,12,0.155,10,0.83,5.52,4.7,4.42,16,45,1.4,0.4,21.7,32,8.3,0.44,0.2,0.62,72000,55000,14.3,165,3.6,8.7
Deep Bay,DM1,1997/2/13,1,Surface Water,0.6,13,0.016,55.6,0.6,4.36,3.8,3.66,15.1,130,3.8,0.2,23.2,7.9,7.4,0.36,0.16,0.4,23000,14000,7.1,81,3.1,3.4
Deep Bay,DM1,1997/3/13,1,Surface Water,1,22,0.03,141.1,1.3,6.46,5.5,6.26,23.6,240,7.1,0.2,22,4.7,7.1,0.76,0.22,0.74,710,670,2.4,32,5.3,5.8
Deep Bay,DM1,1997/4/11,1,Surface Water,0.4,4.5,0.072,26.5,1.2,9.55,8.5,7.25,22.9,45,7.6,0.3,14.6,1.9,7.4,0.81,0.2,0.85,1600,1500,4.7,59,6.2,1.9
Deep Bay,DM1,1997/5/26,1,Surface Water,0.4,3.6,0.013,29.6,0.39,2.82,1.9,2.52,25.7,35,6.2,0.5,15.6,2.9,7.2,0.33,0.18,0.74,1100,1100,4.2,57,1.6,0.9
Deep Bay,DM1,1997/6/6,1,Surface Water,0.7,7.8,0.008,26.6,0.6,3.79,2.7,3.39,29.5,59,5.8,0.5,10.7,2.2,6.6,0.49,0.22,0.87,2100,1800,4.1,58,2.3,0.7
Deep Bay,DM1,1997/7/7,1,Surface Water,1.5,6.6,0.003,13.6,0.53,3.72,2.7,3.02,27.2,57,8.6,0.5,3.8,4,6.4,0.32,0.2,0.82,54000,33000,4.8,62,2,1.1
Deep Bay,DM1,1997/8/4,1,Surface Water,5.2,4.4,0.012,14.6,0.32,3.59,2.8,2.69,27.1,29,7.6,0.3,2.9,3.3,7,0.19,0.12,0.67,65000,33000,2.1,27,1.9,1.8
Deep Bay,DM1,1997/9/3,1,Surface Water,3.5,7.1,0.003,43.2,0.42,3.93,3.1,3.23,29.7,66,5.4,0.3,10.9,6.2,6.2,0.25,0.38,0.45,25000,19000,1.4,20,2.4,2.8
Deep Bay,DM1,1997/10/3,1,Surface Water,1,8.9,0.012,49.1,0.46,3.5,2.9,2.9,26.1,93,5.1,0.3,21.2,8,6.5,0.28,0.18,0.42,4000,3200,4.7,65,2.3,1.2
Deep Bay,DM1,1997/11/14,1,Surface Water,7.5,5,0.047,27.5,0.74,6.87,6.4,5.17,24.8,48,5.6,0.3,21,3.1,7.3,0.51,0.19,0.28,2900,2200,2.6,36,4.7,1.6
Deep Bay,DM1,1997/12/1,1,Surface Water,2.2,3,0.023,21.4,0.84,6.63,6.1,6.03,22.6,22,7.4,0.5,18.1,3.9,7,0.71,0.19,0.34,7500,5900,4.6,60,5.5,1.2
Deep Bay,DM1,1998/1/12,1,Surface Water,1.4,10,0.068,31.6,0.93,10.52,10,7.42,20.4,90,6.6,0.3,20.9,2.8,7.5,0.67,0.2,0.32,7800,6300,4,51,6.9,2.5
Deep Bay,DM1,1998/2/11,1,Surface Water,1.9,3.4,0.01,12.7,0.54,4.75,4.1,4.35,16.9,23,3.9,0.5,25.8,2.4,6.5,0.43,0.18,0.47,24000,18000,6.9,84,3.7,1.8
Deep Bay,DM1,1998/3/16,1,Surface Water,1.1,7.5,0.013,21.4,0.52,4.65,3.8,3.95,22.6,82,5.6,0.5,18.1,2.8,7,0.26,0.22,0.63,2900,2500,4.6,60,3.1,2.9
Deep Bay,DM1,1998/4/15,1,Surface Water,0.7,13,0.004,70.6,0.88,5.04,4.5,3.94,25,130,4.6,0.3,16,13,6.3,0.5,0.16,0.38,1600,1100,2.5,33,3.4,5.2
Deep Bay,DM1,1998/5/13,1,Surface Water,1.2,3.3,0.007,21.5,0.56,3.58,2.8,2.88,29.4,29,6.7,0.3,12,1.9,6.6,0.34,0.18,0.6,700,410,2.8,39,2.1,1.6
Deep Bay,DM1,1998/6/12,1,Surface Water,0.4,4.7,0.005,23.3,0.38,3.22,2.5,2.72,27.3,44,7.4,0.5,7.8,1.6,6.6,0.24,0.13,0.59,17000,8000,3.2,42,2,1.7
Deep Bay,DM1,1998/7/13,1,Surface Water,2.6,8,0.045,26.9,0.55,3.88,3,3.18,29.5,64,8.2,0.5,4.7,2.9,7.4,0.32,0.26,0.62,1000,830,3.4,46,2.3,2.2
Deep Bay,DM1,1998/8/26,1,Surface Water,2,6.8,0.125,9.4,0.66,4.79,3.9,4.09,31.5,67,7.5,0.4,11.2,7.6,7.7,0.4,0.37,0.52,3800,1800,4.7,68,3.2,1.5
Deep Bay,DM1,1998/9/9,1,Surface Water,0.2,40,0.033,143.2,1.2,4.24,3.6,3.04,29.8,420,4.4,0.5,17.6,17,7.2,0.25,0.26,0.38,5100,2400,1.8,26,2.4,6.5
Deep Bay,DM1,1998/10/7,1,Surface Water,1.9,3.4,0.012,34.6,0.48,3.85,3.2,2.85,27.2,27,3.1,0.5,25.2,4.3,6.2,0.35,0.26,0.39,650,440,2.7,40,2.2,3.4
Deep Bay,DM1,1998/11/20,1,Surface Water,1.8,8.4,0.023,64.9,0.94,6.97,6.2,6.17,22.8,92,8.5,0.5,20.1,5.6,6.4,0.56,0.27,0.5,740,640,3.8,50,5.4,6.2
Deep Bay,DM1,1998/12/3,1,Surface Water,1.6,10,0.069,43.7,0.77,5.84,5,5.24,22.2,120,5.9,0.4,21.8,5,7.6,0.49,0.26,0.58,5800,4500,4.4,57,4.4,5.7
Deep Bay,DM1,1999/1/6,1,Surface Water,<0.2,10,0.023,41.6,1,8.35,7.8,7.95,17.8,110,6,0.1,18.7,6.2,7,0.72,0.21,0.34,19000,14000,2.9,35,7.4,4
Deep Bay,DM1,1999/2/5,1,Surface Water,1.7,9,0.047,49.4,0.96,8.31,7.8,6.41,16.1,92,5.2,0.5,22.1,4.3,7.5,0.58,0.18,0.33,2900,2500,5.1,60,5.9,3.4
Deep Bay,DM1,1999/3/8,1,Surface Water,0.5,17,0.042,66,0.76,5.31,4.1,4.41,23.3,180,4,0.1,25.1,8.6,7.5,0.43,0.36,0.85,190,110,5.2,71,3.2,6.6
Deep Bay,DM1,1999/4/8,1,Surface Water,3,5,0.054,22.3,0.5,4.14,3.2,3.94,23.2,47,3.9,0.5,26.4,3.3,7.7,0.44,0.32,0.62,130,130,4.5,62,3,2.4
Deep Bay,DM1,1999/5/7,1,Surface Water,2.3,5,0.045,20.3,0.55,4.13,3.4,3.53,23.3,47,4.5,0.5,22.6,2.2,7.6,0.47,0.26,0.47,1600,1200,4.2,57,2.8,3.7
Deep Bay,DM1,1999/6/4,1,Surface Water,31,4,0.014,15,0.22,1.87,0.72,1.28,30.6,25,5.8,0.5,14.5,6.2,8.2,0.11,0.15,1,52,16,7.7,112,0.13,4
Deep Bay,DM1,1999/7/5,1,Surface Water,12,9.8,0.039,66.9,0.75,4.43,3,3.63,30.3,58,8.1,0.3,6.7,14,7.3,0.5,0.73,0.7,2200,920,3.3,46,2.2,6
Deep Bay,DM1,1999/8/2,1,Surface Water,21,12,0.059,41.2,0.53,3.56,2.4,2.04,31.7,82,0.94,0.5,12.6,19,7.9,0.26,0.41,0.75,430,210,4.9,72,0.88,3.7
Deep Bay,DM1,1999/9/1,1,Surface Water,2.3,7.5,0.03,70.6,0.35,3.89,2.7,3.19,29.9,77,8.8,0.3,5.5,5.1,7.3,0.2,0.43,0.76,1300,850,1.8,25,2,3.9
Deep Bay,DM1,1999/10/11,1,Surface Water,3.1,10,0.027,85.1,0.45,4.1,3,3.3,28.8,72,5.9,0.7,16.8,2.8,7.2,0.3,0.34,0.76,1100,790,3.6,52,2.2,1.9
Deep Bay,DM1,1999/11/10,1,Surface Water,5.3,4.4,0.036,22.6,0.61,5.06,4.1,4.56,24,40,5.9,0.3,22.8,4.8,7.4,0.46,0.38,0.58,1800,1100,5.7,78,3.6,2.7
Deep Bay,DM1,1999/12/9,1,Surface Water,1.2,2.4,0.036,12.1,0.63,6.26,5.7,5.16,17.2,19,4.7,0.5,22.3,7.3,7.5,0.49,0.2,0.36,12000,9100,5.8,69,4.6,2.9
Deep Bay,DM1,2000/1/7,1,Surface Water,4,5.2,0.062,25.8,0.64,6.21,5.6,5.71,19.9,31,4.8,0.5,21.8,5.4,7.6,0.54,0.19,0.42,3800,2900,4.2,53,5.1,2.8
Deep Bay,DM1,2000/2/9,1,Surface Water,2.2,2.8,0.038,2.4,0.56,5.14,4.8,3.94,16.7,29,3.5,0.5,24.8,5,7.6,0.44,0.14,0.2,3300,1900,5,60,3.6,2.7
Deep Bay,DM1,2000/3/8,1,Surface Water,2,5.3,0.03,19.1,0.49,3.69,3.2,3.59,19.4,54,3.3,0.5,25.8,3.9,7.5,0.32,0.18,0.31,1200,1000,5.6,71,3.1,2.2
Deep Bay,DM1,2000/4/10,1,Surface Water,4.5,8.8,0.031,31.7,0.49,4.07,3,2.97,23,69,5.8,1,17.8,5.7,7.5,0.26,0.36,0.71,1800,1500,4.5,58,1.9,4.1
Deep Bay,DM1,2000/5/22,1,Surface Water,6,3,0.085,171.5,0.42,3.02,2.4,2.42,26.9,19,5.6,0.5,17.2,3,7.9,0.32,0.13,0.49,260,150,4.6,64,1.8,1.5
Deep Bay,DM1,2000/6/21,1,Surface Water,3.2,3.8,0.04,171.6,0.37,3.11,2.2,2.61,28.1,31,6.8,0.3,11.2,5.6,7.5,0.3,0.21,0.7,5800,2700,5,69,1.7,1.2
Deep Bay,DM1,2000/7/21,1,Surface Water,4.7,6.4,0.048,19,0.65,5.38,4.6,4.28,26.7,15,12,0.5,4.8,5.4,7.3,0.52,0.25,0.53,110000,67000,4,52,3.5,4.3
Deep Bay,DM1,2000/8/18,1,Surface Water,4.8,2.8,0.053,46.6,0.34,3.18,2.2,2.78,30.7,19,5.9,0.5,8.9,9.4,7.6,0.24,0.36,0.62,4600,2100,3.6,51,1.8,2.1
Deep Bay,DM1,2000/9/18,1,Surface Water,5.8,3.2,0.058,97.6,0.34,3.03,2.6,2.63,27.2,33,2.3,0.3,22.9,5.6,7.7,0.24,0.16,0.27,7200,4100,4.7,68,2.2,1.8
Deep Bay,DM1,2000/10/16,1,Surface Water,3.9,3.6,0.132,72.5,0.58,4.95,4.2,4.25,23.8,24,6.7,1,21.8,<0.2,7.9,0.51,0.36,0.39,5000,2300,6.2,83,3.5,1.6
Deep Bay,DM1,2000/11/13,1,Surface Water,0.9,3.8,0.017,22.6,0.56,4.73,4.1,4.23,14,27,5.6,1,22.8,1.3,7.3,0.53,0.19,0.44,11000,7000,5.4,76,3.6,2.1
Deep Bay,DM1,2000/12/13,1,Surface Water,9.7,2.8,0.053,61.3,0.98,9.72,9.4,9.52,17.7,18,7.9,0.5,18.6,6.7,7.3,0.84,0.12,0.2,230000,130000,4.7,55,9.2,5.5
Deep Bay,DM1,2001/1/11,1,Surface Water,210,2.8,0.35,209.6,0.71,5.79,5.1,4.19,17,20,1.1,0.5,23.7,210,8.6,0.4,0.21,0.48,8900,6500,8.2,99,3.5,>8
Deep Bay,DM1,2001/2/12,1,Surface Water,6,10,0.044,166.6,0.9,7.49,7.2,6.99,18.6,84,5.9,0.5,21.3,7.5,7.3,0.72,0.13,0.16,6500,6200,2.1,26,6.7,2.1
Deep Bay,DM1,2001/3/14,1,Surface Water,5.1,9,0.015,167.4,0.82,5.87,4.9,5.47,19.5,130,5.5,0.5,23.2,7.4,6.8,0.51,0.32,0.65,3200,2600,2.6,32,4.5,0.3
Deep Bay,DM1,2001/4/17,1,Surface Water,8.4,9.8,0.056,91.1,0.78,6.43,6,5.83,23.6,44,6.1,0.5,17.2,1.5,7.3,0.58,0.11,0.32,220000,200000,2.9,38,5.4,5.2
Deep Bay,DM1,2001/5/11,1,Surface Water,4,2.3,0.055,33.4,0.54,4.86,3.9,4.26,27.2,16,7.6,0.5,15,<0.2,7.4,0.49,0.28,0.68,1000,550,3.7,51,3.3,1.7
Deep Bay,DM1,2001/6/14,1,Surface Water,1.9,7.9,0.057,55.4,0.57,6.39,5.7,5.19,27.2,32,10,0.5,0.3,2,7.3,0.32,0.19,0.5,1500000,610000,0.8,10,4.5,7.7
Deep Bay,DM1,2001/7/9,1,Surface Water,1.4,3.5,0.002,35.1,0.27,3.06,2,2.66,29.4,20,8,0.5,3.9,1.4,6.2,0.19,0.36,0.7,9500,3800,4.5,60,1.6,1.4
Deep Bay,DM1,2001/8/22,1,Surface Water,9,4.4,0.18,25.4,0.37,3.69,3.1,3.19,30.8,31,4.7,0.5,11.9,12,7.9,0.27,0.26,0.33,6600,3600,2.7,39,2.6,3.2
Deep Bay,DM1,2001/9/20,1,Surface Water,2.6,9.7,0.043,53.5,0.42,4.11,3.4,3.51,29,74,7.1,1,13.4,9.5,7.3,0.3,0.33,0.38,10000,5600,1.8,25,2.8,4.2
Deep Bay,DM1,2001/10/19,1,Surface Water,3.3,4.5,0.04,100.5,0.53,5.2,4.6,4.8,25.3,30,6.5,0.5,20.6,4.8,7.3,0.46,0.35,0.25,830,490,3.5,48,4.2,2.8
Deep Bay,DM1,2001/11/16,1,Surface Water,3.1,6.6,0.035,103.1,0.56,6.04,5.5,5.14,16.6,44,5.8,0.5,23.1,2.3,7.5,0.47,0.25,0.29,6200,4700,4.5,53,4.6,0.9
Deep Bay,DM1,2001/12/14,1,Surface Water,1,6.3,0.032,44.6,0.6,5.93,5.5,5.13,17.8,39,5,0.5,23,3.3,7.4,0.49,0.15,0.28,4800,3600,3,36,4.7,2.9
Deep Bay,DM1,2002/1/15,1,Surface Water,3,9,0.113,57.6,0.68,7.19,6.4,4.19,19.5,35,1.8,0.5,21.2,36,8,0.33,0.28,0.51,12000,8200,6,74,3.4,>7.3
Deep Bay,DM1,2002/2/15,1,Surface Water,3,5.6,0.065,55.2,0.79,7.87,7.5,6.97,19,51,5.1,0.5,24,7.3,7.5,0.64,0.16,0.21,2900,2800,4.1,51,6.6,3.3
Deep Bay,DM1,2002/3/15,1,Surface Water,1.1,5.6,0.089,39.3,0.64,6.44,5.9,5.64,22,48,4.2,0.5,23.6,4.9,7.7,0.48,0.27,0.27,3600,2700,2,27,5.1,2.1
Deep Bay,DM1,2002/4/17,1,Surface Water,1.7,4,0.06,38.2,0.44,3.94,3.1,3.54,25.2,36,4.1,0.5,21.6,5.9,7.7,0.32,0.27,0.57,130,93,3.8,52,2.7,2.1
Deep Bay,DM1,2002/5/17,1,Surface Water,1.9,7.6,0.067,38.6,0.51,4.43,3.2,3.93,26.7,64,5.5,0.3,14.4,7.1,7.6,0.34,0.46,0.77,3100,2000,3.3,45,2.7,4.9
Deep Bay,DM1,2002/6/13,1,Surface Water,2.5,2.6,0.108,31.6,0.43,4.72,3.4,3.82,28.3,24,5.4,0.5,13.5,1.9,7.8,0.3,0.22,1.1,2400,1700,2.7,38,2.5,2.2
Deep Bay,DM1,2002/7/12,1,Surface Water,14,9.4,0.009,29,0.48,4.01,3.2,3.21,30.3,31,4.2,0.5,15.4,10,6.7,0.3,0.25,0.56,1200,680,3.9,57,2.4,2
Deep Bay,DM1,2002/8/14,1,Surface Water,8,11,0.115,88.1,0.41,4.19,3.4,3.29,29,91,7.6,0.5,5.9,3.8,7.8,0.27,0.34,0.45,7100,3300,2.5,33,2.5,4.8
Deep Bay,DM1,2002/9/12,1,Surface Water,1,26,0.141,326.8,0.91,7.79,7,6.49,25.4,280,9.5,0.1,11.3,16,7.6,0.46,0.39,0.4,48000,28000,3,39,5.7,9
Deep Bay,DM1,2002/10/10,1,Surface Water,2.3,13,0.079,95.1,0.54,6.62,4.9,5.52,22.8,130,8.8,0.2,15.1,5.1,7.6,0.24,0.62,1.1,13000,9900,3.6,46,3.8,6.9
Deep Bay,DM1,2002/11/22,1,Surface Water,<0.2,22,0.03,121.9,0.67,5.69,5.2,4.99,20.8,120,5.5,0.5,21.4,17,7.3,0.4,0.2,0.29,6900,5100,3.5,44,4.5,6
Deep Bay,DM1,2002/12/19,1,Surface Water,4.6,8.6,0.054,58.2,0.88,7.27,7,5.67,20.9,66,5.6,0.2,23,5.4,7.4,0.64,0.12,0.15,18000,13000,2.7,35,5.4,4.3
Deep Bay,DM1,2003/1/20,1,Surface Water,7.7,7.9,0.065,45.1,0.59,6.41,5.7,5.01,17.6,43,3.1,0.2,20.6,10,7.7,0.34,0.33,0.38,37000,24000,4.1,48,4.3,6.1
Deep Bay,DM1,2003/2/21,1,Surface Water,1.4,22,0.042,143,0.77,5.33,4.8,4.23,19.1,220,5,0.1,23.3,17,7.6,0.48,0.31,0.22,1400,800,5.2,65,3.7,6.7
Deep Bay,DM1,2003/3/24,1,Surface Water,0.8,5,0.034,32.1,0.57,5.61,4.8,5.21,18.8,38,5.4,0.5,23.7,1.8,7.4,0.51,0.29,0.52,5200,4300,2.1,26,4.4,2.9
Deep Bay,DM1,2003/4/8,1,Surface Water,1.9,4.1,0.035,34.7,0.61,5.36,4.3,4.96,22,27,6.2,0.5,20.9,2,7.4,0.57,0.42,0.64,5300,4000,2.4,31,3.9,3.9
Deep Bay,DM1,2003/5/19,1,Surface Water,1.5,4,0.028,31.2,0.21,2.29,1,2,27.8,36,4.6,0.2,13.3,2.8,7.8,0.14,0.19,1.1,380,170,3.4,47,0.71,2
Deep Bay,DM1,2003/6/20,1,Surface Water,36,7.3,0.047,40.6,0.54,6.21,5.7,5.01,29.5,35,9.2,0.2,6.8,8.2,7.1,0.31,0.19,0.32,9300,5800,3,42,4.5,3.6
Deep Bay,DM1,2003/7/18,1,Surface Water,11,17,0.079,74.6,0.65,6.4,5,5,31.8,130,4.7,0.5,7.1,25,7.4,0.37,0.73,0.67,28000,340,2.3,33,3.6,13
Deep Bay,DM1,2003/8/14,1,Surface Water,2.6,5.7,0.051,39.4,0.43,3.95,2.7,3.35,31.1,42,6.1,0.5,13.1,5.3,7.5,0.31,0.67,0.58,1700,810,2.2,33,2.1,2.8
Deep Bay,DM1,2003/9/15,1,Surface Water,5,3.9,0.121,24.2,0.53,6.24,5.6,5.14,27.9,26,7.6,0.3,10,1.1,7.6,0.35,0.3,0.34,420000,220000,2.1,28,4.5,4
Deep Bay,DM1,2003/10/15,1,Surface Water,10,4.8,0.186,50.7,0.78,8.59,8.3,6.89,24.1,23,8.6,0.2,17.2,2.4,7.7,0.67,0.17,0.12,43000,32000,2.1,28,6.6,4.1
Deep Bay,DM1,2003/11/12,1,Surface Water,3.8,8.6,0.239,49,0.92,9.95,9.5,8.35,20.7,48,7.6,0.3,17.7,4.3,7.9,0.63,0.21,0.24,10000,7300,3.2,40,7.9,4.2
Deep Bay,DM1,2003/12/10,1,Surface Water,3.8,8.2,0.215,57.1,0.77,9.49,9.1,8.29,19,49,6.2,0.5,22.8,4.4,7.9,0.64,0.19,0.2,2400,2200,2.8,34,7.9,3.1
Deep Bay,DM1,2004/1/6,1,Surface Water,71,5,0.521,23,0.86,9.29,8.9,7.79,20.1,19,4.5,0.5,21.2,18,8.3,0.67,0.17,0.22,15000,11000,5.9,74,7.4,6.9
Deep Bay,DM1,2004/2/6,1,Surface Water,5,12,0.022,35.2,0.71,8.26,8,6.16,13,52,4.3,0.5,23.8,3.8,7.3,0.49,0.093,0.17,39000,37000,2.5,28,5.9,4.3
Deep Bay,DM1,2004/3/8,1,Surface Water,2.4,19,0.06,123.8,0.7,6.33,5.5,5.43,18.5,140,4.2,0.1,24.5,9.4,7.6,0.44,0.3,0.53,2700,2300,3.9,48,4.6,6
Deep Bay,DM1,2004/4/19,1,Surface Water,16,8.6,0.084,53.4,0.85,8.1,7.5,6.7,25.5,62,7,0.3,17.2,6.7,7.4,0.62,0.21,0.39,5600,3900,2.7,36,6.1,3.8
Deep Bay,DM1,2004/5/10,1,Surface Water,2.1,3.9,0.057,34.6,0.53,5.21,4.4,4.41,26.9,30,4.9,0.5,15.2,1.9,7.4,0.42,0.21,0.6,6900,3300,7,96,3.6,2
Deep Bay,DM1,2004/6/9,1,Surface Water,17,6.9,0.086,20.1,1.1,10.16,10,8.66,28.5,21,9.3,0.3,12.8,8.2,7.2,0.86,0.06,0.1,14000,11000,1.8,24,8.5,3.8
Deep Bay,DM1,2004/7/8,1,Surface Water,9.9,7,0.297,163.8,1.2,11.62,11,8.02,29.8,130,11,0.3,6,15,7.7,0.77,0.4,0.22,37000,25000,1.6,22,7.4,7
Deep Bay,DM1,2004/8/5,1,Surface Water,2.9,18,0.189,148.2,0.75,6.37,5.3,5.67,30.6,160,9.7,0.3,7.6,6.9,7.7,0.49,0.66,0.41,1400,920,2.7,38,4.6,8.8
Deep Bay,DM1,2004/9/17,1,Surface Water,5.8,2.7,0.096,79.2,0.5,3.88,3.4,2.98,28.8,26,4.6,0.3,22.3,8.6,7.8,0.29,0.21,0.27,630,390,2.4,36,2.5,3.1
Deep Bay,DM1,2004/10/14,1,Surface Water,7.2,5.2,0.082,43.4,0.42,3.82,3.3,3.12,26,40,2.1,0.3,25.6,4.9,7.8,0.31,0.29,0.23,170,70,4.2,60,2.6,2.7
Deep Bay,DM1,2004/11/12,1,Surface Water,17,5.9,0.234,44.8,0.82,8.55,7.9,7.25,24.6,32,6.7,0.2,22.4,9.8,7.9,0.65,0.36,0.29,5000,3100,2.5,34,6.6,3.8
Deep Bay,DM1,2004/12/13,1,Surface Water,39,24,0.214,58.6,1,9.47,8.8,8.97,18.9,180,5,0.5,23.4,27,7.9,0.55,0.31,0.36,23000,16000,2.6,35,8.3,14
Deep Bay,DM1,2005/1/10,1,Surface Water,120,18,0.077,80.7,0.89,7.3,6.8,5.9,15.7,110,3.4,0.2,24.1,23,7.8,0.39,0.25,0.25,19000,17000,5.1,60,5.4,>8.1
Deep Bay,DM1,2005/2/25,1,Surface Water,1.8,4.2,0.059,25.3,0.67,6.9,6.3,6.1,16.6,25,5.3,0.3,23.8,4.5,7.6,0.55,0.27,0.33,10000,8900,2,24,5.5,3.4
Deep Bay,DM1,2005/3/11,1,Surface Water,0.6,14,0.07,47.4,0.8,6.93,6.2,6.33,19.9,130,5.6,0.5,23.1,13,7.6,0.49,0.35,0.38,13000,11000,1.3,16,5.6,7.5
Deep Bay,DM1,2005/4/13,1,Surface Water,2.1,12,0.129,56.1,0.66,6.2,4.9,5.3,21.8,74,5.5,0.5,21,7.9,7.9,0.53,0.48,0.82,3000,2200,1.3,17,4,>5.5
Deep Bay,DM1,2005/5/13,1,Surface Water,1.8,4.2,0.023,33.2,0.45,4.18,2.6,3.68,27.4,28,6.3,0.3,12.7,4.8,7.2,0.33,0.38,1.2,6200,3200,3.9,53,2.1,2.1
Deep Bay,DM1,2005/6/22,1,Surface Water,5,8.7,0.066,68.9,0.93,8.61,8.4,7.01,27.4,62,11,0.2,1.8,7.1,7.2,0.6,0.13,0.082,240000,170000,1.8,24,6.8,5.4
Deep Bay,DM1,2005/7/20,1,Surface Water,260,8.5,0.46,45,0.92,8.05,7.5,6.45,31.8,22,0.99,0.2,3.2,84,8,0.6,0.36,0.19,19000,2100,6.3,87,5.9,8.9
Deep Bay,DM1,2005/8/19,1,Surface Water,4.5,6.6,0.088,31.7,0.46,6.29,6,4.99,27.5,25,9.8,0.5,3.3,0.9,7.5,0.23,0.18,0.11,740000,360000,2,26,4.7,4.7
Deep Bay,DM1,2005/9/21,1,Surface Water,5.8,7.5,0.041,53.1,0.49,4.95,4.4,4.25,29.9,61,7.2,0.3,16.5,5.6,7.1,0.37,0.31,0.24,6700,3200,1.7,25,3.7,4
Deep Bay,DM1,2005/10/17,1,Surface Water,9.2,1.9,0.023,24.2,0.52,4.82,4.3,4.22,27.7,12,7.4,0.3,21.7,3.3,7,0.44,0.28,0.24,3300,2200,3,43,3.7,2.8
Deep Bay,DM1,2005/11/2,1,Surface Water,10,3.2,0.058,26.2,0.73,6.96,6.6,6.26,22.2,13,7.2,0.5,23.8,4.6,7.4,0.65,0.21,0.15,37000,24000,3.2,42,5.9,3.7
Deep Bay,DM1,2005/12/2,1,Surface Water,9.6,5,0.055,21.2,0.66,5.99,5.5,5.29,22.6,32,4,0.2,23.7,6.7,7.5,0.55,0.26,0.23,4500,3200,3.2,43,4.8,3.3
Deep Bay,DM1,2006/1/19,1,Surface Water,28,24,0.044,74.6,0.83,7.28,6.6,6.38,21.1,140,4,0.1,23.4,19,7.3,0.47,0.29,0.39,18000,14000,4.4,57,5.7,4.3
Deep Bay,DM1,2006/2/15,1,Surface Water,16,38,0.014,60,0.83,4.91,4,4.31,19.5,230,3.2,0.2,23.5,27,7.1,0.38,0.32,0.59,11000,10000,2.8,35,3.4,8.8
Deep Bay,DM1,2006/3/20,1,Surface Water,3.4,13,0.032,68.2,0.54,4.05,2.8,3.45,21,110,4.5,0.3,7.2,6.6,7.5,0.34,0.35,0.9,980,870,1.6,56,2.2,6.3
Deep Bay,DM1,2006/4/18,1,Surface Water,1.9,4.2,0.038,24.9,0.35,3.31,2.2,3.01,21.9,33,4.3,0.5,22.7,3.5,7.7,0.31,0.27,0.84,980,740,5.1,67,1.9,2.1
